country_code,zipcode,place,state,state_code,province,province_code,community,community_code,latitude,longitude
GL,2412,Santa Claus/Julemanden,"","","","","","",90,0
GL,3900,Nuuk,"","","","","","",64.1738,-51.7384
GL,3905,Nuussuaq,"","","","","","",74.1167,-57.0667
GL,3910,Kangerlussuaq,"","","","","","",67.0088,-50.6894
GL,3911,Sisimiut,"","","","","","",66.9333,-53.6833
GL,3912,Maniitsoq,"","","","","","",65.4167,-52.9
GL,3913,Tasiilaq,"","","","","","",65.6,-37.6333
GL,3915,Kulusuk,"","","","","","",65.5667,-37.1833
GL,3919,Alluitsup Paa,"","","","","","",60.45,-45.55
GL,3920,Qaqortoq,"","","","","","",60.7167,-46.0333
GL,3921,Narsaq,"","","","","","",60.9167,-46.05
GL,3922,Nanortalik,"","","","","","",60.1167,-45.2167
GL,3923,Narsarsuaq,"","","","","","",61.1667,-45.4167
GL,3924,Ikerasassuaq,"","","","","","",60.05,-43.1667
GL,3930,Kangilinnguit,"","","","","","",61.23,-48.09
GL,3932,Arsuk,"","","","","","",61.1667,-48.45
GL,3940,Paamiut,"","","","","","",62,-49.75
GL,3950,Aasiaat,"","","","","","",68.7167,-52.8667
GL,3951,Qasigiannguit,"","","","","","",68.8167,-51.1833
GL,3952,Ilulissat,"","","","","","",69.2167,-51.1
GL,3953,Qeqertarsuaq,"","","","","","",62.1167,-49.7833
GL,3955,Kangaatsiaq,"","","","","","",68.3,-53.4667
GL,3961,Uummannaq,"","","","","","",70.6747,-52.1264
GL,3962,Upernavik,"","","","","","",72.7833,-56.1667
GL,3964,Qaarsut,"","","","","","",70.7333,-52.65
GL,3970,Pituffik,"","","","","","",76.5478,-68.8428
GL,3971,Qaanaaq,"","","","","","",77.4894,-69.3322
GL,3972,Station Nord,"","","","","","",77.0186,-69.0875
GL,3980,Ittoqqortoormiit,"","","","","","",70.4846,-21.9622
GL,3982,Mestervi,"","","","","","",72.6754,-21.0735
GL,3984,Danmarkshavn,"","","","","","",76.8,-18.6
GL,3985,Constable Pynt,"","","","","","",70.7417,-22.6583
GL,3992,Slædepatruljen Sirius,"","","","","","",67.2561,-48.0617
